middle_gold,late_gold
-27.73,-18.92
-5.12,-13.77
-6.72,-11.51
8.38,6.08
-17.26,-20.94
-0.03,-9.41
-0.93,-1.97
-17.17,-33.01
8.31,12.63
-9.38,-22.43
-3.51,-7.52
6.46,22.45
8.36,-5.35
-1.68,0.2
-5.66,-4.92
-4.55,13.15
-8.75,2.99
-4.46,9.95
4.58,2.11
-2.72,-16.94
5.68,-9.22
-18.89,-15.97
0.48,3.27
9.99,4.51
-3.96,-24.67
-2.1,8.62
7.98,17.51
-9.34,-19.26
-14.13,-0.1
-10.13,-1.61
5.0,20.87
-2.42,-30.73
-6.4,-6.07
3.04,5.62
-1.03,-7.32
4.84,14.86
1.64,22.72
-3.46,-24.56
2.48,20.98
8.3,-9.63
-25.3,-38.92
-8.47,-9.46
-8.84,-6.61
7.61,1.15
-17.19,-2.37
-4.81,-17.6
8.83,25.33
12.93,21.27
2.0,-13.59
5.96,17.64
2.91,23.53
-13.39,-28.98
-2.45,1.12
9.42,12.23
-2.38,-1.92
-0.89,-7.71
3.54,-2.38
5.14,7.98
-6.21,-18.18
-7.78,11.89
13.68,-2.06
-2.92,11.65
4.48,-11.42
6.97,-9.02
-32.57,-42.21
-12.09,0.13
-18.05,-16.05
1.67,-2.23
-5.42,-2.82
-3.7,-9.54
-11.42,-6.3
0.07,-16.94
-5.99,-8.71
10.45,11.58
5.29,-2.31
21.77,22.26
-6.82,-27.41
-6.05,-2.85
3.05,15.11
5.24,18.47
-15.92,-4.2
-1.87,-4.27
-0.39,13.32
0.65,3.78
14.31,19.07
-1.95,11.65
0.96,6.72
-9.28,-31.16
-9.08,3.79
-3.9,-19.73
-8.28,13.41
-2.71,10.05
-2.52,5.26
-1.89,4.84
-3.38,-9.03
-7.47,-26.03
-4.95,-0.29
-4.07,0.38
3.87,-3.27
5.66,17.99
-3.03,-14.2
-0.17,-6.09
1.47,-5.02
-8.32,-14.53
2.91,-22.97
12.98,23.92
-2.74,19.12
-2.37,-13.05
-32.85,-9.33
-16.72,-17.01
-8.99,0.24
4.61,8.7
-2.31,9.16
-3.42,-12.3
10.43,3.54
-7.59,10.24
-3.33,16.37
-18.6,-20.16
7.69,-8.65
3.78,-14.05
-3.21,-3.42
4.56,-1.83
0.01,1.26
-3.09,-13.33
-4.88,0.17
-12.86,8.75
6.26,18.86
0.74,9.38
1.03,-4.9
4.69,-0.02
2.01,-11.03
3.37,9.04
-3.3,-10.28
-1.69,-14.74
8.23,25.12
-6.13,-21.25
6.85,-9.68
-2.23,4.14
4.11,20.58
-14.78,-10.39
10.92,20.81
-11.91,2.19
-12.4,-9.38
-5.13,9.41
-3.71,-14.23
3.77,0.18
0.03,-11.6
0.42,14.25
15.94,20.21
-1.0,3.03
17.38,12.22
4.62,-1.12
1.99,-13.33
-6.6,-11.85
13.12,26.94
17.67,8.67
4.37,12.57
6.82,8.33
2.75,6.77
-7.03,-15.27
-13.15,-21.01
1.45,-0.73
7.63,10.64
-4.55,-2.86
4.68,16.21
8.46,6.13
2.37,3.02
7.69,9.66
15.13,-2.86
22.45,13.17
-3.82,-11.13
-1.65,-4.94
0.38,6.26
-0.2,19.85
-3.25,4.26
11.99,25.45
8.56,3.39
7.85,12.89
2.93,-8.03
-10.83,-13.59
-1.28,-7.98
6.74,23.88
-3.32,0.46
7.46,15.17
1.19,10.09
8.43,6.27
15.84,11.15
9.9,15.43
5.69,19.87
0.41,4.89
-2.87,1.86
9.37,2.82
-8.13,-20.47
-21.83,-34.24
-3.22,-19.28
-9.76,6.36
-2.89,-6.04
3.61,1.24
4.95,16.0
3.49,8.23
17.58,24.73
-20.0,-40.76
2.37,-7.82
-8.24,-46.06
-6.99,-15.1
2.11,2.42
-1.45,34.21
5.76,10.9
0.46,14.59
-4.74,-23.57
17.73,2.88
-28.64,-13.2
-9.13,-10.74
0.25,6.29
-1.01,-12.18
12.01,13.75
5.94,-0.14
1.6,5.91
43.41,32.09
-4.95,-6.89
-11.11,-28.6
-41.51,-60.62
-12.78,0.79
7.79,39.62
-3.68,-2.58
19.47,35.85
35.71,38.97
-13.46,-7.26
1.8,-7.6
20.75,4.67
-8.48,-7.28
0.82,-16.96
7.54,32.27
8.18,22.42
0.85,3.81
9.5,7.92
8.85,-9.93
6.77,12.77
-11.82,-15.87
-18.33,-2.11
-0.25,1.85
-6.88,-14.99
-4.45,-15.67
19.84,25.24
-16.91,1.75
13.19,-13.84
-4.52,-14.11
-6.64,-19.61
-3.84,7.4
2.07,9.36
8.06,22.85
22.61,36.2
8.95,1.54
-7.32,-23.38
-13.4,-23.89
12.29,18.66
-12.16,-23.59
1.84,-2.04
-5.36,-24.28
-11.96,-8.04
-2.48,-22.89
-2.67,7.0
13.44,13.27
2.76,1.73
-5.27,-14.17
-13.61,-21.92
-1.16,-8.13
1.36,-1.79
13.58,22.92
-12.8,17.4
-14.6,-23.63
18.8,35.78
11.71,4.96
17.29,23.12
-6.7,-0.09
1.08,-22.43
-8.18,-14.4
4.3,-3.17
31.7,47.73
6.62,21.28
-2.3,2.61
18.26,26.17
-5.24,-10.61
-6.47,-14.52
-7.03,-1.1
-19.99,-36.04
7.57,4.28
-0.64,-17.04
29.81,37.34
11.76,27.32
4.24,21.73
19.67,33.67
34.17,27.34
13.06,2.4
-21.82,-29.59
7.12,-1.02
12.08,10.06
2.59,-23.75
-2.2,8.2
4.58,10.19
26.86,43.72
-17.77,-10.85
40.64,39.33
10.54,17.51
-5.31,-15.75
11.98,15.95
-1.53,0.48
20.05,6.16
-8.75,-14.19
15.57,-11.18
25.52,38.21
-14.07,-9.93
16.52,32.7
-17.17,7.38
10.3,23.92
-26.27,-2.13
10.3,6.67
12.34,15.75
12.02,15.07
-8.7,-19.69
-6.33,-32.11
4.82,-4.01
-20.03,5.75
13.43,34.48
-3.79,-12.31
-2.14,-5.64
-15.1,-48.79
12.52,28.61
7.88,16.59
-2.02,-4.63
-27.19,-31.57
4.62,-14.13
-22.38,-38.95
-19.18,-5.46
-28.31,-49.5
12.69,27.66
18.41,37.49
-13.33,7.73
-2.41,33.4
-7.49,-10.29
-7.18,-14.86
-23.47,-13.34
2.99,13.12
16.22,17.04
-9.71,-25.1
9.0,1.19
-7.28,-2.18
-11.06,-5.29
-11.9,-17.91
8.08,0.25
8.82,25.46
-35.76,-14.07
2.89,10.17
-0.29,11.23
9.27,24.2
2.94,21.31
-5.68,3.49
25.84,14.51
45.06,62.03
-14.7,-7.7
3.36,15.18
24.79,6.14
-13.7,-21.56
-8.69,-7.02
13.57,21.52
-3.74,28.38
-4.8,-3.64
-7.31,-18.26
-22.81,0.65
11.03,-24.95
8.36,-4.82
-33.48,-39.44
2.2,17.47
2.2,17.47
7.11,-0.28
-3.69,13.24
4.22,-1.18
3.65,-11.68
16.21,29.69
8.66,19.08
0.03,18.95
-0.77,-12.74
-6.52,-18.28
-12.48,-4.53
12.39,11.52
7.63,1.27
18.27,25.31
7.0,4.23
-7.39,-15.71
-11.17,-22.94
7.24,19.75
-8.94,-17.8
-4.9,9.01
-13.05,-6.59
-14.36,-4.68
15.25,13.01
4.64,21.57
7.08,-3.38
21.5,31.45
-8.44,-19.87
-1.25,16.42
-0.74,-0.86
8.03,9.73
-20.96,-40.67
1.75,3.53
-11.35,-0.13
-18.09,-13.51
-10.94,-27.12
