middle_gold,late_gold
-1.35,-19.48
-2.64,-7.53
5.38,15.11
16.56,29.38
-17.36,-20.5
-16.25,-8.64
-9.4,-28.69
-12.35,-1.5
-15.25,-23.39
-11.04,-21.86
-6.31,8.26
3.7,-15.82
4.16,9.92
0.03,15.14
30.79,69.76
-0.01,-8.48
0.4,6.87
-5.66,7.25
5.35,-6.74
51.19,90.4
-27.52,-6.76
6.45,12.97
-8.16,-1.91
-1.62,6.74
-14.88,-2.57
14.06,33.32
-1.98,-6.39
-1.95,-3.74
0.24,6.98
-4.38,4.75
-0.84,-3.31
5.91,34.13
-12.19,-7.85
-8.37,14.06
-0.37,-13.91
30.69,35.35
21.75,12.76
26.0,36.71
2.14,4.16
-11.83,-13.68
-10.07,-41.99
3.52,10.93
37.79,42.11
31.78,33.82
-20.32,1.46
-1.78,-8.75
5.04,-6.11
14.64,36.18
-13.26,-10.41
-9.14,-0.84
6.53,18.32
17.18,20.52
4.18,5.76
5.74,6.66
-5.41,-1.31
1.9,16.13
-7.11,-5.71
-13.84,-35.48
-20.29,-10.98
14.65,7.02
-11.31,-12.38
5.03,-0.95
11.94,18.18
7.45,19.55
8.62,13.03
-8.75,-11.78
8.47,13.31
0.99,13.31
23.0,42.13
-6.3,3.68
-3.65,-6.82
-22.81,-37.25
-2.18,-23.49
7.31,24.23
-5.01,9.36
5.61,25.04
13.38,41.62
-8.08,-4.72
-7.44,0.76
-1.87,-12.45
-8.88,-16.29
4.71,13.82
1.13,-4.73
5.42,10.22
-1.82,2.37
15.21,23.47
-3.03,-16.69
1.59,-6.82
11.15,21.27
4.73,-18.63
2.22,-4.45
2.77,20.53
6.09,32.31
6.32,11.52
8.63,17.15
-16.96,-26.62
-5.96,7.5
-16.84,-7.3
6.91,15.33
0.95,22.18
3.52,7.93
-8.85,-20.4
27.44,31.89
-1.77,-17.73
2.94,20.64
5.22,-18.07
24.61,33.86
13.08,34.53
9.65,8.76
-13.1,8.97
4.39,-15.25
-8.37,-9.19
-6.54,-10.24
0.46,7.32
14.59,12.0
3.07,15.36
-25.29,-22.74
-0.34,-4.82
4.26,11.02
-16.84,-14.11
15.26,24.82
-3.57,-10.12
2.89,5.88
-9.78,-26.86
12.25,14.67
-14.14,-10.9
-9.25,9.01
-2.07,-12.86
0.79,-3.36
13.44,9.16
-18.9,-31.33
2.18,-5.45
-14.51,-31.14
-12.2,-26.57
-13.03,-10.89
3.18,8.75
-3.45,5.52
-2.51,2.99
-6.27,-4.07
-0.76,-3.52
-3.69,10.41
-31.52,-31.12
9.34,8.88
-0.29,7.81
-2.18,0.96
6.83,13.01
0.51,14.44
3.77,3.29
12.92,0.26
-18.19,-40.55
6.8,19.69
-0.74,5.83
-6.31,-10.92
7.03,7.85
3.52,-4.59
4.35,11.62
-13.23,-17.53
-13.98,-28.16
1.01,-28.21
5.19,3.66
6.38,24.68
-21.63,-18.69
1.52,-21.4
-14.53,-11.85
3.95,1.9
-17.69,-29.46
-1.91,-1.82
14.19,20.39
-2.61,-13.01
2.52,-0.95
-15.65,-23.78
5.58,30.09
-6.51,3.47
26.53,25.04
4.57,-16.47
2.56,6.26
-8.05,6.09
-4.46,-17.83
-3.8,9.9
-2.96,8.86
-1.53,-12.66
-6.13,-25.36
-8.99,-18.16
-15.31,-16.75
-3.03,1.8
8.95,2.37
-0.86,-0.35
-5.46,-20.96
4.74,5.71
-0.44,-3.82
-17.27,-28.18
1.33,-7.38
-1.09,-15.2
4.95,11.12
-5.91,8.31
16.18,16.8
7.17,30.97
-13.02,-13.04
15.4,10.42
18.96,23.95
-1.55,2.69
15.27,25.03
15.34,35.86
2.21,8.56
6.0,-0.92
-2.35,-11.35
-0.78,12.96
-5.2,-23.0
16.37,21.73
2.76,2.71
-23.55,-24.77
13.01,13.51
2.32,23.09
10.29,19.07
-10.0,-12.3
-2.75,4.18
-12.91,-27.94
3.21,-15.37
7.69,16.99
0.69,1.5
1.28,26.7
-10.49,-9.32
6.33,10.86
-5.51,-1.67
-1.35,-11.86
1.39,10.23
-12.67,-11.32
9.55,17.37
-2.94,-14.57
6.58,7.22
5.33,3.45
-10.41,-18.56
2.72,4.84
-3.46,-13.48
-6.39,-27.33
-0.6,6.24
-16.82,-19.75
-2.01,-4.97
-0.73,1.68
-9.96,-15.76
-2.88,-8.85
3.14,13.38
-9.68,3.11
-23.8,-24.68
2.78,6.96
16.06,47.35
5.43,15.57
6.76,-2.52
10.16,9.92
5.16,12.42
-22.04,-20.96
0.26,31.48
13.03,18.97
-12.51,-26.7
-5.47,-16.34
17.59,12.64
1.71,17.57
5.36,19.53
-4.1,1.82
-6.89,1.07
10.49,10.73
-2.07,-13.53
-29.03,-17.64
-3.07,12.19
-4.33,7.37
1.55,-9.47
8.75,-1.67
-6.7,-11.16
-18.32,-12.81
