Champion,AD_p,AP_p,TD_p,avg_dpm,tank_death,tank_time,deal_death,deal_time,tank_death_norm,tank_time_norm,tank_norm_total,deal_death_norm,deal_time_norm,deal_norm_total
blitzcrank_support,49.8888,109.3716,32.6196,191.88,3799.26633,544.8571,1327.7035,191.88,0.6665580095199876,0.8048248490130763,1.471382858533064,0.29693904633505913,0.3794776483370543,0.6764166946721134
kalista,463.203,77.2005,53.4465,593.85,5220.41957,592.1779,5252.5705,593.85,0.9158906418225198,0.8747238293423737,1.7906144711648935,1.1747301073452503,1.1744465367154455,2.349176644060696
naafiri,461.6744,0.0,40.1456,501.82,6662.78563,695.3035,4790.5259,501.82,1.1689449334790847,1.0270537621805123,2.195998695659597,1.071394473381595,0.9924404497003366,2.0638349230819317
neeko,170.5,363.0,16.5,550.0,4043.36364,648.0,3442.8182,550.0,0.7093833876194438,0.9571803362027832,1.666563723822227,0.7699815154610836,1.0877251750332493,1.857706690494333
nocturne,346.356,25.656,55.588,427.6,6987.71759,891.6977,3342.1611,427.6,1.2259522558604636,1.3171535559834082,2.543105811843872,0.7474696946510513,0.8456568815349407,1.593126576185992
renekton,423.0134,101.7374,10.7092,535.46,8726.28494,1075.5721,4317.8353,535.46,1.530973249803902,1.5887599757536013,3.1197332255575034,0.9656778762832618,1.058969676769643,2.0246475530529047
seraphine_support,34.1354,202.1866,26.258,262.58,3537.34375,379.9474,2425.75,262.58,0.6206052969674196,0.5612317593694034,1.181837056336823,0.5425156231397067,0.5192997753822374,1.061815398521944
sion,304.9592,234.1651,10.8914,544.57,10145.22742,1067.3467,5125.7207,544.57,1.7799180178039264,1.5766099894304495,3.3565280072343757,1.1463603255078199,1.0769863610324666,2.223346686540286
braum_support,25.7387,156.4121,15.8392,197.99,4515.61898,611.3821,1443.7661,197.99,0.7922376947602608,0.9030909321394501,1.695328626899711,0.322896285853647,0.3915612861906055,0.7144575720442525
gnar,476.765,114.665,12.07,603.5,6779.21081,770.9728,5268.8234,603.5,1.1893710182802537,1.1388271665234586,2.3281981848037123,1.1783650458885164,1.193531169331938,2.3718962152204544
gragas,44.0128,500.6456,5.5016,550.16,7921.68468,940.1724,4606.4775,550.16,1.389811061849349,1.388756996791015,2.778568058640364,1.030232303984969,1.0880416041750771,2.118273908160046
jarvan iv,339.3734,41.387,33.1096,413.87,6407.59592,775.2881,3435.2536,413.87,1.1241734617334904,1.1452014262531127,2.2693748879866034,0.7682897031627006,0.8185033058018379,1.5867930089645386
jayce,581.2324,120.4994,7.0882,708.82,5087.39913,619.6434,5829.4114,708.82,0.8925530202897137,0.9152939474349316,1.8078469677246454,1.3037397745887707,1.4018206519401233,2.705560426528894
leona_support,38.6841,114.2102,31.3157,184.21,3364.28178,559.564,1098.0138,184.21,0.590242634224898,0.8265488543934787,1.4167914886183768,0.24556926349500044,0.36430882635068157,0.609878089845682
lillia,18.1236,465.1724,114.7828,604.12,8990.67407,926.4054,5944.0291,604.12,1.577358703447927,1.368421346037151,2.9457800494850783,1.3293738642263424,1.194757332256521,2.5241311964828634
senna,621.9025,80.4815,29.266,731.65,5045.70323,501.6947,7436.5484,731.65,0.8852377299954572,0.7410683666931396,1.6263060966885967,1.6631737356424154,1.446971135114685,3.1101448707571
yone,414.8763,102.2159,84.1778,601.27,7310.12764,826.6063,5340.8945,601.27,1.2825171245774296,1.2210050866378683,2.503522211215298,1.1944836474455045,1.1891209381677124,2.3836045856132166
ziggs,26.604,851.328,8.868,886.8,3716.33436,400.5319,8370.9908,886.8,0.6520081032888096,0.5916377449104006,1.2436458481992103,1.8721604823904987,1.7538085185808825,3.625969000971381
ambessa,580.355,18.327,12.218,610.9,6613.87871,785.0135,5145.0614,610.9,1.1603645138887178,1.1595671077989562,2.319931621687674,1.1506858462385043,1.2081660171414763,2.3588518633799804
poppy,325.7252,47.0928,19.622,392.44,7255.48776,725.7975,3904.5881,392.44,1.2729308922657794,1.0720973689276845,2.345028261193464,0.8732557131507301,0.7761215776182697,1.6493772907689999
tristana,626.067,55.6504,13.9126,695.63,4746.93466,587.0568,5733.5142,695.63,0.8328206141555332,0.8671592981390895,1.6999799122946229,1.282292498812061,1.3757350245606894,2.65802752337275
aurora,52.241,656.744,37.315,746.3,5726.17236,608.5283,7052.5179,746.3,1.0046218714153607,0.8988754981217717,1.9034973695371324,1.577285846943187,1.4759441784132978,3.053230025356485
caitlyn,682.6176,14.2212,14.2212,711.06,4598.96109,432.6235,7680.0156,711.06,0.8068595575425933,0.6390412147827542,1.4459007723253476,1.7176248372489615,1.406250659925713,3.1238754971746747
karma_support,28.4801,220.0735,12.9455,258.91,4117.94588,446.1111,2351.7882,258.91,0.7224683848588824,0.658964155373138,1.3814325402320204,0.5259741691499986,0.5120416819415611,1.0380158510915596
miss fortune,631.6142,26.8772,13.4386,671.93,3677.34002,402.9751,6159.004,671.93,0.6451667851512245,0.5952466692891206,1.2404134544403451,1.3774527024548888,1.3288639579274384,2.706316660382327
neeko_support,32.2785,319.1985,7.173,358.65,3519.87017,486.3643,2565.0039,358.65,0.6175396643709314,0.7184233706651718,1.3359630350361034,0.573659564738443,0.7092956982284997,1.2829552629669427
viktor,24.3342,778.6944,8.1114,811.14,4955.25754,525.0446,7712.2209,811.14,0.869369587607013,0.775559207946691,1.644928795553704,1.724827507927268,1.604177088139036,3.329004596066304
yorick,427.6536,213.8268,6.4796,647.96,7315.53026,886.5359,5343.5014,647.96,1.2834649811688346,1.3095289055830817,2.592993886751916,1.1950666770149008,1.2814589171173532,2.476525594132254
galio,5.3239,521.7422,5.3239,532.39,7264.51791,790.9817,4872.9928,532.39,1.274515176779381,1.1683829159510017,2.442898092730383,1.0898380811902728,1.052898192610821,2.142736273801094
smolder,614.9154,167.7042,149.0704,931.69,5403.86224,578.0909,8723.7551,931.69,0.9480745348048873,0.8539154969410024,1.80199003174589,1.9510557288239492,1.84258666968496,3.793642398508909
xayah,683.7656,0.0,13.9544,697.72,5124.15939,525.9087,6856.3802,697.72,0.8990023827736113,0.7768355961079763,1.6758379788815876,1.5334199223686475,1.3798683802258158,2.9132883025944634
gwen,74.1936,399.504,97.0224,570.72,5982.57741,817.1115,4175.8373,570.72,1.0496065671207742,1.20698003130426,2.2565865984250344,0.9339202205254171,1.1287027488999564,2.0626229694253735
khazix,300.46,21.72,39.82,362.0,6300.5,738.5,3112.1429,362.0,1.1053841384635652,1.0908606146385114,2.196244753102077,0.6960264432416011,0.7159209333855204,1.4119473766271216
sylas,21.63,508.305,10.815,540.75,7556.23019,924.8207,4412.7452,540.75,1.3256943097540723,1.3660805378908847,2.691774847644957,0.9869043437842935,1.0694316152713264,2.0563359590556196
twisted fate,51.9327,496.2458,23.0812,577.03,5987.77876,634.0,5431.7876,577.03,1.0505191121233293,0.936500514124328,1.9870196262476574,1.214811763197581,1.1411819231807923,2.3559936863783735
azir,14.2788,678.243,14.2788,713.94,5159.5086,587.605,6293.1189,713.94,0.9052041851767885,0.867969060886476,1.7731732460632643,1.40744731383109,1.4119463844786146,2.8193936983097045
leblanc,41.9088,614.6624,41.9088,698.48,6140.4359,570.16,7566.359,698.48,1.0773018724088956,0.8422005254465723,1.919502397855468,1.6922056962934056,1.381371418649498,3.0735771149429034
skarner,249.0894,130.4754,19.769,395.38,6904.02835,853.844,3194.997,395.38,1.2112694912455804,1.261238714482607,2.4725082057281873,0.7145566477932571,0.7819359630993565,1.4964926108926138
viego,328.3812,39.093,23.4558,390.93,6651.43843,814.9722,3199.3704,390.93,1.1669541367334337,1.2038200067776572,2.370774143511091,0.7155347526376307,0.7731352775922693,1.4886700302298999
yasuo,424.62,37.744,9.436,471.8,4229.05556,667.4,3004.0833,471.8,0.7419618977390922,0.9858366610829282,1.7277985588220204,0.6718590635733634,0.9330704319648855,1.604929495538249
bard_support,63.3,154.452,35.448,253.2,4415.06977,551.2222,2012.0338,253.2,0.7745969516654204,0.8142269301210461,1.5888238817864666,0.449988568807648,0.5007491169425794,0.9507376857502274
gangplank,511.36,175.78,111.86,799.0,7078.89474,871.3571,6497.8947,799.0,1.2419487284261825,1.2871078424856206,2.529056570911803,1.453245137490136,1.5801680270028475,3.0334131644929836
kassadin,40.824,530.712,11.664,583.2,8143.80645,809.2,5806.0645,583.2,1.4287809660419453,1.1952937161347101,2.6240746821766554,1.2985182727844296,1.153384221962529,2.4519024947469585
sivir,781.648,0.0,15.952,797.6,4790.30508,492.7876,7813.7442,797.6,0.8404296887284247,0.7279114207477819,1.5683411094762065,1.747533053165936,1.577399272011854,3.32493232517779
olaf,389.375,0.0,166.875,556.25,5097.78333,849.0,3400.1389,556.25,0.8943748645831244,1.2540834960434613,2.1484583606265857,0.7604363492095463,1.1000856883858998,1.860522037595446
veigar,28.3468,666.1498,14.1734,708.67,7782.42857,529.0,10451.7143,708.67,1.3653794302045372,0.7814018485359141,2.1467812787404514,2.3375114073349206,1.4015239996196593,3.7390354069545797
syndra,26.3868,587.1063,46.1769,659.67,4112.47297,427.9048,6335.9865,659.67,0.7215081963174588,0.632071080751211,1.3535792770686697,1.417034593116467,1.304617574934879,2.721652168051346
hwei,28.3544,673.417,7.0886,708.86,4621.67111,483.1406,6898.7956,708.86,0.8108438914672327,0.7136615462055778,1.5245054376728104,1.5429060677511974,1.4018997592255802,2.9448058269767774
nunu,9.87,312.55,3.29,329.0,8185.8,753.0,3577.3333,329.0,1.4361484772057858,1.1122790017911972,2.5484274789969827,0.8000656310122327,0.6506574228835255,1.450723053895758
chogath,106.1587,357.5872,94.9841,558.73,9189.44099,1247.3784,4098.2236,558.73,1.6122311422415556,1.842540241179151,3.4547713834207068,0.9165620241656611,1.1049903400842316,2.0215523642498927
galio_support,2.41,219.31,19.28,241.0,3956.18919,538.75,1777.9459,241.0,0.6940891642547449,0.7958038674834097,1.4898930317381547,0.39763513463761174,0.4766213948782056,0.8742565295158173
tahm kench_support,22.5731,166.2201,16.4168,205.21,4722.26506,646.6316,1460.4337,205.21,0.8284924839210691,0.9551590313076291,1.7836515152286982,0.32662397147675054,0.4058401512155874,0.732464122692338
lee sin,321.975,55.65,19.875,397.5,6419.30129,786.5513,3247.7129,397.5,1.126227097212079,1.1618386385412596,2.2880657357533387,0.7263464857146714,0.7861286492285756,1.512475134943247
mundo,209.2598,387.7461,18.4641,615.47,16107.9075,1322.4667,7507.825,615.47,2.826033720234632,1.9534554329058413,4.7794891531404735,1.6791146483763244,1.2172040245049345,2.896318672881259
mordekaiser,78.3062,475.4305,5.5933,559.33,5832.89773,889.1111,3676.3636,559.33,1.0233461839571678,1.3133328111413987,2.3366789950985662,0.8222136202585327,1.106176949366086,1.9283905696246189
renata glasc_support,41.752,121.0808,45.9272,208.76,3984.32853,507.0546,1620.9319,208.76,0.6990260391222686,0.7489856365758761,1.4480116756981447,0.36251917130599975,0.4128609227998929,0.7753800941058926
shen,299.1624,173.7072,9.6504,482.52,7053.2978,855.0,3982.022,482.52,1.2374579020680836,1.262946276934228,2.5004041790023113,0.8905736974898573,0.9542711844673516,1.8448448819572087
elise_support,36.0844,255.8712,39.3648,328.04,3048.01348,524.6324,1883.2453,328.04,0.5347552979311377,0.7749503348994954,1.3097056328306331,0.4211851994040705,0.6487588480325583,1.0699440474366289
sejuani,216.8451,136.9548,26.6301,380.43,7710.86673,887.1338,3297.5655,380.43,1.3528243436470786,1.3104120816988467,2.663236425345925,0.7374959505622998,0.7523696151598164,1.4898655657221163
swain,44.6136,507.4797,5.5767,557.67,6506.6,796.4167,4561.3333,557.67,1.1415431212327647,1.1764111183078876,2.3179542395406525,1.0201358662670905,1.1028939970196219,2.123029863286712
thresh_support,14.7191,96.3432,22.7477,133.81,3665.56044,488.381,1008.6154,133.81,0.6431001299826248,0.7214022990355732,1.364502429018198,0.22557543532487048,0.2646336466749074,0.49020908199977786
zed,582.255,25.878,38.817,646.95,5638.17531,726.7692,5076.9444,646.95,0.9891833279185612,1.0735326962929441,2.0627160242115052,1.1354515736624322,1.2794614581595647,2.414913031821997
cassiopeia,12.4298,602.8453,6.2149,621.49,6164.61438,729.1538,5255.9608,621.49,1.0815438386471559,1.0770550608449645,2.1585988994921204,1.1754883432381207,1.2291096709662075,2.4045980142043284
jinx,675.1555,21.3207,14.2138,710.69,4607.00353,452.2022,7324.2792,710.69,0.8082705543857874,0.6679615028204293,1.4762320572062166,1.638064884772624,1.4055189175352363,3.04358380230786
zyra,27.2044,584.8946,68.011,680.11,3369.17119,444.3,5261.4881,680.11,0.5911004512648861,0.6562889249612602,1.2473893762261463,1.1767245162171087,1.3450413978033875,2.521765914020496
garen,360.1875,0.0,120.0625,480.25,11455.5,1008.75,5366.0,480.25,2.0097973173826476,1.4900550372601198,3.4998523546427673,1.2000984577007796,0.949781846017669,2.1498803037184486
camille,315.1778,38.0387,190.1935,543.41,6986.75709,864.0952,4393.1012,543.41,1.2257837420179123,1.276381071060511,2.5021648130784233,0.9825109904292666,1.0746922497542144,2.057203240183481
shen_support,126.6356,80.3649,38.9648,243.53,3510.25,595.7059,1416.7045,243.53,0.6158518644618253,0.8799351445061444,1.4957870089679697,0.3168439965463575,0.48162493068335854,0.7984689272297161
irelia,355.68,133.38,4.94,494.0,4552.63636,810.5,2774.2727,494.0,0.7987321673734628,1.1972139853277095,1.9959461527011721,0.6204622416159854,0.9769749753935002,1.5974372170094857
aphelios,627.6555,19.8207,13.2138,660.69,4102.66667,473.7429,5910.3798,660.69,0.71978774103978,0.6997799202093851,1.419567661249165,1.321848244950772,1.3066348107140318,2.6284830556648036
aurelion sol,7.1183,690.4751,14.2366,711.83,6307.41176,551.5833,8296.5882,711.83,1.106596764425452,0.8147603218176553,1.9213570862431073,1.8555204440921522,1.4077734751707598,3.263293919262912
gragas_support,24.175,188.565,29.01,241.75,4708.05319,658.0,1754.4362,241.75,0.8259990983681914,0.9719516376873941,1.7979507360555855,0.3923772228390639,0.47810465648052364,0.8704818793195875
sett,416.5038,5.2722,100.1718,527.22,8189.63889,1061.5556,4136.6667,527.22,1.4368219869455376,1.5680557810276963,3.004877767973234,0.925159770162537,1.0426735759655086,1.9678333461280455
urgot,410.13,0.0,30.87,441.0,3866.58065,806.2,2111.0968,441.0,0.6783678947067918,1.190862325689327,1.8692302203961186,0.4721438713635951,0.8721578221630235,1.3443016935266185
zilean,53.56,358.44,0.0,412.0,4228.1,456.0,3810.3,412.0,0.7417942505892867,0.6735713476982549,1.4153655982875417,0.8521683103573018,0.8148050402067248,1.6669733505640267
draven,550.4928,0.0,22.9372,573.43,3841.29787,462.9459,4800.2766,573.43,0.6739321857966635,0.6838313459964507,1.3577635317931143,1.073575203912997,1.1340622674896657,2.2076374714026628
nidalee,111.141,450.7385,61.745,617.45,9150.08136,853.4455,6695.5355,617.45,1.6053257362106386,1.260650078118445,2.865975814329084,1.4974472282949718,1.221119835135054,2.718567063430026
pyke_support,179.0106,0.0,63.7572,245.22,3514.22973,452.2222,1910.4595,245.22,0.6165500837170221,0.6679910454233986,1.2845411291404207,0.4272716174897135,0.48496721349391525,0.9122388309836287
fiora,359.546,48.752,207.196,609.4,9209.10526,1074.6,5129.1053,609.4,1.6156811179819677,1.5873240575362821,3.20300517551825,1.147117286603596,1.20519949393684,2.352316780540436
zeri,555.6142,172.6909,22.5249,750.83,5769.26744,574.055,7618.9942,750.83,1.0121826392715338,0.8479539473748282,1.860136586646362,1.7039774857717453,1.484903078491299,3.1888805642630444
kindred,341.122,105.3465,60.198,501.65,5414.08,683.55,4062.9875,501.65,0.9498671782196364,1.0096923129805748,1.9595594912002112,0.9086815192708809,0.9921042437371445,1.9007857630080254
vladimir,44.8428,695.0634,14.9476,747.38,8788.98438,1077.6875,6099.9531,747.38,1.5419734825578975,1.5918846968696558,3.1338581794275533,1.364246050569715,1.478080075120636,2.842326125690351
pantheon_support,287.9968,10.0464,36.8368,334.88,3176.87129,635.3529,1674.2178,334.88,0.5573626115238925,0.938498923502181,1.4958615350260736,0.3744364889368603,0.6622861938456991,1.0367226827825595
yuumi_support,11.5,276.0,2.875,287.5,1775.87879,185.6,2831.5758,287.5,0.3115670575827107,0.2741553555543774,0.5857224131370882,0.6332780004552463,0.5685836142219257,1.201861614677172
kennen,114.9268,547.5924,13.5208,676.04,4240.8018,583.24,4837.1532,676.04,0.7440227036088782,0.8615213877884433,1.6055440913973216,1.0818226043575085,1.3369922315081415,2.41881483586565
brand,13.228,588.646,59.526,661.4,4509.2,693.5,4245.3571,661.4,0.7911115240314115,1.0243897579577625,1.815501281989174,0.9494682273758954,1.3080389650308928,2.257507192406788
karma,43.92,499.59,5.49,549.0,3253.88889,485.5,3857.2222,549.0,0.5708748777603074,0.7171466870778569,1.2880215648381643,0.8626623953092077,1.0857474928968252,1.948409888206033
ivern,53.112,108.437,61.964,221.3,2869.12706,279.6296,2260.9529,221.3,0.5033707711071504,0.41304931256211386,0.9164200836692643,0.5056589802877572,0.43766105679065104,0.9433200370784083
karthus,7.1467,650.3497,64.3203,714.67,5712.75833,680.8333,5917.6667,714.67,1.0022684620042228,1.0056793935062507,2.0079478555104737,1.3234779500293072,1.413390092438204,2.736868042467511
kayle,242.19,779.22,31.59,1053.0,5640.0,614.0,9676.0,1053.0,0.989503458604001,0.9069579111551064,1.8964613697591073,2.1640239800061023,2.0824992896545664,4.246523269660669
quinn,515.95,42.49,48.56,607.0,6920.66667,602.0,6969.3333,607.0,1.2141885825905026,0.8892323493735733,2.103420931964076,1.5586817265249135,1.2004530568094223,2.7591347833343356
senna_support,409.86,13.365,22.275,445.5,5800.7,442.75,5878.2,445.5,1.0176972894191894,0.6539993732311454,1.671696662650335,1.314651277312099,0.8810573917769319,2.195708669089031
sett_support,156.7962,2.3757,78.3981,237.57,3459.42105,586.5714,1388.9737,237.57,0.6069342364791639,0.8664422991650267,1.4733765356441906,0.31064204158720565,0.46983794515027094,0.7804799867374765
milio_support,24.9456,123.1689,9.3546,155.91,4979.22581,407.7273,1922.7742,155.91,0.8735746737881752,0.6022662871806375,1.4758409609688128,0.4300257830650113,0.3083404218898798,0.7383662049548911
morgana_support,20.9997,195.9972,16.3331,233.33,2283.94118,473.3333,1126.3529,233.33,0.4007034923507275,0.6991748877005755,1.099878380051303,0.2519072639054791,0.46145257289183284,0.713359836797312
lulu_support,26.8226,141.7766,22.9908,191.59,3744.16239,370.2105,1918.9402,191.59,0.6568903607234082,0.5468490908268526,1.2037394515502609,0.4291683142825244,0.37890412051749134,0.8080724348000157
zoe,54.502,630.666,93.432,778.6,5104.57692,399.3,9759.9231,778.6,0.8955667583422268,0.5898180682805113,1.485384826622738,2.1827932649251234,1.5398233114197961,3.7226165763449197
chogath_support,17.9,289.98,50.12,358.0,3477.57143,920.0,1354.4286,358.0,0.6101186094906846,1.3589597365841983,1.969078346074883,0.3029160778840526,0.708010204839824,1.0109262827238767
taric_support,49.504,81.991,23.205,154.7,3355.76786,636.2,834.4107,154.7,0.5887489191032176,0.9397502004509425,1.52849911955416,0.1866147957806612,0.3059474265048066,0.4925622222854678
maokai_support,13.9525,234.402,30.6955,279.05,3904.83784,644.35,1705.3423,279.05,0.6850798843914497,0.9517888111609003,1.6368686955523502,0.38139744019416705,0.5518722001691422,0.9332696403633092
diana,38.3697,366.6438,21.3165,426.33,3492.69118,631.0,2369.4118,426.33,0.6127712770293775,0.9320691236789448,1.5448404007083223,0.5299156628471913,0.843145225221682,1.3730608880688733
ashe_support,366.525,24.435,16.29,407.25,3202.28571,386.75,3376.3571,407.25,0.5618214158658101,0.5712800849173247,1.1331015007831349,0.7551175826233838,0.8054110500587105,1.5605286326820944
vex,94.7463,757.9704,8.6133,861.33,6157.71429,428.3333,12237.2857,861.33,1.080333260115298,0.6327040310198265,1.7130372911351244,2.7368519744714512,1.7034369545661612,4.440288929037612
anivia,56.5938,565.938,6.2882,628.82,6796.22727,867.0909,4998.75,628.82,1.19235645197231,1.280806109846256,2.473162561818566,1.1179635045530698,1.243606081026196,2.3615695855792658
fiddlesticks,10.92,529.62,10.92,546.0,12027.4,744.0,8828.5,546.0,2.110133669860596,1.0989848304550474,3.2091185003156433,1.974481780434464,1.079814446487553,3.054296226922017
fiddlesticks_support,6.39,271.575,38.34,319.5,4818.42857,454.5,3400.7143,319.5,0.8453637828105196,0.6713556524755633,1.5167194352860829,0.7605650366215033,0.6318694425874966,1.3924344792089998
talon,440.865,0.0,13.635,454.5,6704.9,859.0,3555.0,454.5,1.1763336417719799,1.2688547975280722,2.4451884393000523,0.7950708194420931,0.8988565310047487,1.6939273504468417
soraka_support,32.3,136.8,20.9,190.0,3537.94118,442.5,1520.4706,190.0,0.6207101124020425,0.6536300906940302,1.2743402030960729,0.34005114089440536,0.375759605920577,0.7158107468149824
malzahar,0.0,639.0,0.0,639.0,4263.25,468.0,5822.75,639.0,0.7479611028179978,0.6912969094797878,1.4392580122977856,1.3022499617177068,1.263738885174993,2.5659888468927
yunara,522.2295,265.1319,24.1029,803.43,5959.29655,576.3889,8297.7586,803.43,1.0455220828141651,0.8514014214283216,1.8969235042424868,1.855782202428882,1.588929158867206,3.444711361296088
janna_support,45.1,117.26,63.14,225.5,3674.28571,382.0,2157.1429,225.5,0.6446309251674215,0.5642637167121346,1.208894641879556,0.4824420177655958,0.4459673217636322,0.928409339529228
