Champion,Gold_Data
sejuani,"[0.46, 129.72, 385.04, 363.79, 304.99, 325.97, 273.64, 352.54, 334.59, 349.46, 335.01, 298.6, 329.53, 343.08, 353.9, 334.31, 363.84, 342.22, 324.52, 335.43, 305.34, 299.3, 338.92, 308.57, 298.61, 331.01, 324.74, 316.35, 294.96, 302.57]"
swain,"[0.0, 83.83, 299.17, 348.33, 326.83, 310.33, 338.83, 340.33, 304.83, 428.67, 290.83, 276.33, 420.67, 318.67, 318.33, 328.0, 387.5, 395.0, 342.83, 315.67, 387.5, 308.33, 429.67, 277.33, 328.67, 356.0, 360.17, 588.0, 313.8, 562.0]"
thresh,"[2.67, 70.67, 213.8, 208.13, 179.0, 194.93, 233.6, 265.8, 207.33, 259.4, 236.6, 239.53, 311.13, 246.2, 229.73, 241.0, 250.53, 214.47, 222.73, 194.87, 225.67, 239.33, 210.47, 237.0, 206.4, 239.93, 256.64, 266.93, 276.83, 154.25]"
zed,"[0.59, 191.06, 464.06, 302.12, 353.29, 312.94, 277.0, 427.94, 400.47, 342.53, 312.71, 350.35, 367.82, 427.06, 431.0, 365.29, 400.94, 404.29, 401.65, 422.71, 380.0, 378.65, 396.59, 380.82, 349.06, 437.18, 404.65, 419.56, 324.15, 453.62]"
cassiopeia,"[0.31, 130.03, 317.12, 361.75, 365.84, 320.28, 385.09, 381.56, 374.34, 396.91, 393.22, 364.25, 378.31, 464.09, 362.0, 413.19, 380.44, 422.84, 422.06, 390.28, 447.19, 389.91, 390.38, 362.44, 403.69, 393.62, 462.75, 460.86, 457.43, 520.77]"
jinx,"[6.91, 112.23, 356.13, 365.83, 348.47, 329.55, 402.49, 360.55, 360.49, 437.91, 394.49, 381.68, 470.81, 505.26, 364.4, 462.81, 470.15, 501.15, 505.17, 456.06, 418.13, 474.28, 475.19, 446.79, 518.67, 535.84, 530.93, 469.05, 605.67, 547.6]"
zyra,"[0.8, 157.02, 459.36, 363.93, 355.98, 318.27, 297.59, 429.23, 398.27, 348.07, 341.41, 353.41, 367.98, 376.11, 401.61, 403.27, 388.52, 378.77, 347.27, 388.89, 326.16, 369.45, 328.05, 333.35, 319.57, 339.5, 409.15, 327.62, 419.69, 316.47]"
garen,"[0.0, 84.75, 331.25, 351.25, 362.5, 299.0, 287.0, 338.5, 322.5, 268.5, 442.75, 367.75, 306.0, 532.5, 242.0, 455.75, 349.0, 460.25, 431.25, 554.75, 457.0, 293.75, 286.25, 284.5, 400.25, 256.75, 508.5, 571.75, 651.0, 759.25]"
camille,"[14.2, 92.48, 272.23, 320.41, 302.05, 288.82, 316.61, 296.77, 345.32, 338.64, 317.14, 331.68, 352.05, 311.32, 354.59, 359.11, 436.45, 466.75, 425.57, 453.91, 425.89, 400.3, 464.88, 416.51, 421.83, 509.07, 549.1, 507.92, 527.45, 505.54]"
irelia,"[0.0, 79.5, 258.0, 310.0, 460.5, 282.0, 528.0, 319.0, 355.0, 232.5, 482.5, 371.0, 408.5, 652.5, 333.5, 351.5, 673.5, 388.5, 1134.5, 447.0, 276.5, 377.5, 393.5, 376.0, 468.5, 314.5, 375.0, 480.5, 843.0, 377.0]"
aphelios,"[0.23, 112.14, 330.55, 362.41, 324.32, 324.95, 397.09, 397.55, 417.55, 353.41, 392.32, 354.59, 459.18, 505.95, 397.14, 489.45, 418.18, 487.82, 394.5, 462.86, 435.41, 525.14, 494.68, 535.82, 516.27, 540.77, 500.5, 680.47, 531.65, 603.25]"
aurelion sol,"[0.0, 132.7, 306.4, 380.6, 334.1, 279.8, 362.3, 348.2, 326.3, 354.3, 414.4, 419.2, 391.6, 433.0, 372.7, 402.9, 382.6, 521.9, 278.7, 456.0, 480.6, 371.3, 444.1, 392.0, 510.22, 489.67, 540.22, 567.0, 476.22, 632.71]"
sett,"[0.0, 94.11, 296.44, 316.0, 316.78, 256.11, 368.0, 290.33, 273.33, 380.89, 395.67, 382.33, 403.0, 332.56, 388.67, 417.33, 385.11, 503.89, 307.33, 307.56, 430.56, 309.44, 468.33, 341.22, 252.78, 376.89, 560.0, 643.75, 487.14, 750.75]"
urgot,"[0.0, 84.75, 285.75, 357.75, 308.0, 382.0, 297.5, 341.0, 281.75, 339.75, 407.5, 244.5, 365.5, 276.25, 427.25, 471.75, 482.0, 451.75, 377.75, 264.0, 432.5, 337.75, 704.0, 352.25, 397.25, 463.33, 183.0, 657.67, 192.67, 330.0]"
zilean,"[0.0, 110.0, 272.5, 287.25, 300.5, 253.25, 289.75, 345.75, 274.75, 374.25, 363.25, 259.75, 234.25, 403.25, 270.75, 315.5, 281.0, 335.75, 242.5, 297.75, 284.25, 252.0, 136.0, 343.0, 220.5, 280.25, 292.75, 286.75, 213.67, 213.67]"
draven,"[0.21, 97.92, 361.0, 369.96, 396.46, 333.62, 366.71, 358.79, 450.5, 416.88, 364.08, 386.92, 426.46, 517.5, 536.75, 438.21, 494.75, 424.12, 480.67, 511.67, 510.46, 527.75, 674.42, 366.87, 488.65, 509.52, 528.95, 550.33, 577.24, 518.79]"
nidalee,"[5.13, 123.74, 409.64, 403.31, 329.59, 349.26, 337.34, 412.17, 390.76, 383.41, 356.34, 399.56, 357.66, 379.87, 410.66, 400.06, 419.23, 426.94, 439.3, 432.04, 426.59, 348.33, 412.37, 403.81, 376.42, 418.87, 422.25, 387.3, 477.93, 449.89]"
pyke,"[0.67, 62.67, 218.0, 199.47, 196.2, 197.2, 218.93, 242.47, 283.2, 217.53, 248.0, 400.53, 218.87, 264.6, 366.07, 308.8, 214.93, 381.93, 268.13, 252.2, 251.07, 226.0, 326.8, 234.67, 355.93, 323.6, 313.53, 380.73, 270.15, 387.08]"
fiora,"[0.0, 95.25, 352.25, 308.5, 380.75, 274.75, 398.25, 356.5, 294.0, 431.75, 455.75, 436.25, 449.75, 341.25, 405.5, 308.0, 440.5, 404.75, 527.0, 567.0, 641.5, 615.5, 568.5, 362.75, 817.75, 856.0, 367.33, 629.67, 699.33, 523.0]"
zeri,"[0.47, 112.95, 313.14, 360.3, 359.51, 317.58, 364.91, 380.14, 384.68, 411.38, 394.39, 410.07, 468.05, 464.08, 409.08, 497.07, 475.88, 469.51, 484.12, 516.03, 499.05, 515.41, 487.03, 491.07, 513.62, 590.66, 614.02, 757.06, 527.25, 536.0]"
kindred,"[0.56, 131.0, 397.89, 384.56, 345.22, 313.44, 205.33, 442.56, 330.78, 310.67, 436.89, 257.44, 316.0, 443.11, 299.33, 347.67, 551.56, 400.22, 347.89, 386.89, 362.78, 421.11, 303.0, 268.22, 302.33, 559.22, 261.0, 265.56, 240.5, 296.86]"
vladimir,"[0.0, 103.89, 334.56, 381.67, 332.89, 325.56, 336.78, 326.78, 286.56, 314.44, 375.56, 435.0, 357.11, 450.0, 310.89, 384.56, 433.78, 299.11, 383.11, 557.89, 447.44, 521.44, 371.78, 580.22, 423.0, 477.11, 409.33, 661.56, 377.88, 431.57]"
yuumi,"[0.0, 57.0, 198.0, 230.0, 221.6, 205.8, 204.4, 218.2, 201.8, 231.4, 271.0, 236.4, 209.8, 212.8, 210.6, 207.4, 183.2, 204.6, 181.8, 172.4, 246.2, 191.4, 175.0, 193.0, 210.0, 188.0, 227.4, 356.2, 286.4, 243.8]"
kennen,"[0.42, 95.5, 315.75, 402.92, 348.33, 281.67, 393.0, 361.33, 360.33, 376.0, 378.58, 360.08, 476.25, 369.25, 455.83, 490.75, 416.0, 409.08, 345.58, 366.67, 367.67, 356.42, 485.25, 302.25, 306.92, 466.0, 475.82, 658.18, 348.6, 411.57]"
brand,"[0.0, 130.29, 413.71, 333.29, 288.71, 330.0, 245.29, 417.71, 376.0, 332.29, 292.57, 326.71, 416.0, 402.0, 427.29, 339.57, 309.29, 338.14, 370.43, 327.29, 392.57, 352.29, 311.57, 328.14, 462.14, 257.14, 249.86, 321.86, 227.57, 266.57]"
ivern,"[1.15, 44.08, 629.96, 259.0, 217.31, 291.04, 336.54, 286.96, 301.23, 378.92, 317.96, 308.88, 332.08, 348.15, 367.31, 318.85, 295.04, 329.15, 330.96, 349.69, 311.54, 313.38, 279.08, 271.88, 267.19, 302.08, 317.58, 295.43, 358.55, 324.18]"
karthus,"[1.67, 169.33, 315.67, 469.0, 177.33, 352.0, 267.67, 362.0, 391.33, 354.0, 296.0, 540.0, 429.67, 258.0, 491.33, 481.33, 422.67, 575.67, 373.0, 315.0, 437.33, 518.0, 418.33, 297.33, 459.67, 500.0, 516.33, 576.33, 564.67, 435.0]"
kayle,"[0.0, 130.0, 320.0, 447.0, 397.0, 255.0, 283.0, 356.0, 390.0, 541.0, 367.0, 660.0, 422.0, 417.0, 378.0, 418.0, 312.0, 782.0, 619.0, 763.0, 1607.0, 372.0, 524.0, 347.0, 1036.0, 284.0, 926.0, 494.0, 0, 0]"
quinn,"[0.0, 88.0, 319.0, 367.0, 271.0, 364.0, 270.0, 396.0, 307.0, 436.0, 401.0, 307.0, 375.0, 663.0, 284.0, 178.0, 996.0, 278.0, 422.0, 444.0, 874.0, 303.0, 995.0, 597.0, 321.0, 386.0, 597.0, 718.0, 623.0, 551.0]"
milio,"[0.0, 64.5, 204.17, 200.67, 241.0, 266.5, 193.33, 204.33, 302.67, 225.83, 266.67, 289.5, 248.33, 226.67, 177.83, 176.0, 186.33, 207.0, 262.67, 227.17, 198.67, 183.83, 214.67, 225.0, 240.33, 190.0, 164.17, 305.4, 224.25, 246.25]"
morgana,"[0.0, 93.43, 257.57, 265.43, 316.43, 254.86, 316.57, 309.14, 317.14, 322.0, 296.0, 298.0, 290.14, 381.86, 230.14, 355.43, 244.43, 340.0, 285.86, 251.57, 323.14, 245.29, 270.71, 274.57, 295.57, 343.71, 358.14, 371.33, 193.67, 491.0]"
lulu,"[0.57, 67.34, 217.89, 210.89, 199.39, 206.84, 219.27, 214.32, 265.7, 223.95, 256.91, 255.86, 235.23, 258.34, 221.84, 212.75, 223.68, 210.02, 232.18, 218.14, 222.05, 273.91, 256.3, 217.41, 237.72, 218.31, 301.5, 278.53, 247.53, 253.21]"
zoe,"[0.5, 135.5, 330.2, 384.0, 365.2, 311.3, 351.9, 369.1, 376.0, 434.3, 373.1, 437.2, 402.2, 432.8, 304.0, 459.9, 432.9, 330.3, 396.7, 441.9, 498.7, 385.1, 362.8, 396.6, 418.0, 424.2, 520.9, 351.33, 345.88, 289.57]"
taric,"[0.0, 62.8, 188.8, 295.4, 208.0, 208.0, 229.4, 217.0, 242.2, 278.4, 227.6, 254.4, 300.6, 219.0, 264.6, 215.2, 320.6, 202.2, 224.8, 196.6, 264.2, 233.0, 273.0, 195.8, 335.4, 295.2, 251.6, 317.25, 226.5, 212.5]"
diana,"[0.0, 116.25, 384.0, 427.0, 248.75, 298.25, 305.5, 319.25, 370.25, 437.0, 304.0, 381.25, 299.75, 197.0, 367.25, 449.25, 271.25, 264.75, 384.25, 477.75, 271.0, 271.0, 262.5, 340.0, 283.5, 286.0, 335.0, 580.25, 462.75, 273.0]"
vex,"[0.0, 140.67, 312.0, 343.67, 342.0, 355.0, 415.33, 477.33, 292.33, 473.0, 518.33, 368.33, 376.33, 315.33, 358.67, 320.0, 454.67, 244.67, 361.33, 676.67, 237.0, 440.33, 369.67, 428.67, 304.0, 637.33, 577.33, 267.33, 437.0, 582.0]"
anivia,"[0.45, 100.73, 309.45, 335.0, 325.45, 301.0, 378.64, 315.64, 339.73, 345.64, 404.64, 283.09, 393.0, 389.18, 295.18, 363.27, 377.27, 413.36, 507.64, 390.27, 388.0, 440.64, 509.18, 325.0, 475.91, 331.36, 296.09, 427.78, 381.75, 550.71]"
fiddlesticks,"[0.0, 90.0, 303.0, 227.0, 216.0, 240.67, 444.0, 242.67, 285.67, 302.67, 244.33, 358.33, 246.0, 332.33, 246.33, 314.0, 233.33, 227.67, 337.67, 189.0, 254.33, 321.67, 400.33, 335.33, 263.33, 318.67, 271.67, 282.67, 298.33, 426.0]"
talon,"[0.0, 121.0, 427.0, 373.0, 326.0, 312.0, 314.0, 341.0, 144.0, 585.0, 346.0, 268.0, 311.0, 582.0, 267.0, 264.0, 840.0, 271.0, 265.0, 477.0, 267.0, 462.0, 460.0, 633.0, 1266.0, 339.0, 1543.0, 330.0, 0, 0]"
soraka,"[3.33, 72.0, 194.33, 243.67, 190.33, 169.0, 208.33, 263.0, 228.67, 247.0, 173.0, 216.67, 195.67, 260.0, 211.67, 202.0, 162.67, 194.0, 186.0, 398.0, 197.67, 177.33, 216.0, 182.67, 217.0, 344.67, 187.67, 196.0, 194.67, 195.0]"
malzahar,"[0.0, 83.0, 326.0, 379.0, 371.0, 346.0, 303.0, 398.0, 325.0, 593.0, 398.0, 332.0, 372.0, 861.0, 481.0, 384.0, 397.0, 317.0, 676.0, 318.0, 401.0, 779.0, 380.0, 297.0, 389.0, 707.0, 185.0, 506.0, 796.0, 345.0]"
yunara,"[0.19, 113.59, 323.17, 368.24, 336.69, 346.31, 378.07, 369.94, 378.67, 395.44, 402.11, 375.06, 509.44, 497.94, 429.74, 544.93, 503.65, 467.93, 423.83, 454.41, 485.02, 531.69, 497.5, 524.54, 480.0, 560.85, 558.9, 612.86, 571.52, 570.95]"
janna,"[5.0, 67.0, 181.0, 210.0, 219.5, 177.5, 195.0, 209.5, 263.5, 249.5, 214.5, 252.0, 358.0, 180.0, 275.0, 182.5, 155.0, 152.0, 249.5, 197.5, 202.0, 272.0, 230.5, 228.0, 246.0, 254.5, 275.5, 557.5, 203.0, 277.0]"
hecarim,"[0.0, 131.0, 473.0, 312.0, 322.0, 396.0, 123.0, 492.0, 349.0, 342.0, 371.0, 287.0, 404.0, 486.0, 422.0, 634.0, 853.0, 282.0, 592.0, 408.0, 436.0, 442.0, 311.0, 347.0, 312.0, 157.0, 1255.0, 6.0, 0, 0]"
vayne,"[0.0, 86.8, 320.4, 281.6, 499.0, 329.0, 404.8, 390.8, 285.4, 360.2, 398.2, 314.6, 455.6, 498.6, 415.6, 402.4, 389.4, 461.6, 391.2, 374.4, 583.4, 323.4, 452.6, 491.0, 353.8, 438.0, 512.8, 434.0, 598.2, 453.25]"
mel,"[30.0, 128.3, 346.0, 398.2, 327.0, 339.9, 416.0, 352.7, 315.7, 418.9, 475.0, 318.6, 401.5, 426.0, 418.1, 432.0, 471.8, 494.9, 320.8, 503.4, 521.4, 432.4, 367.2, 332.8, 470.0, 386.4, 401.0, 322.89, 452.22, 412.71]"
qiyana,"[0.23, 124.41, 442.59, 425.95, 334.0, 316.41, 349.73, 411.14, 344.23, 451.36, 381.27, 357.05, 367.36, 372.55, 428.32, 478.64, 393.41, 469.64, 414.09, 378.41, 384.55, 501.41, 399.95, 398.91, 401.55, 409.68, 421.55, 325.05, 371.63, 403.75]"
tryndamere,"[0.0, 118.0, 294.5, 341.5, 320.0, 257.5, 808.5, 392.0, 257.5, 444.0, 472.0, 318.5, 423.5, 349.5, 476.5, 582.5, 586.5, 297.0, 377.5, 429.5, 335.0, 359.0, 572.5, 533.5, 546.5, 197.0, 579.5, 166.0, 159.0, 0]"
lissandra,"[0.0, 151.0, 333.0, 353.0, 333.0, 332.0, 380.0, 405.0, 311.0, 408.0, 368.0, 311.0, 414.0, 423.0, 301.0, 277.0, 308.0, 327.0, 1512.0, 713.0, 509.0, 423.0, 123.0, 1015.0, 695.0, 426.0, 339.0, 731.0, 407.0, 123.0]"
rammus,"[0.0, 69.0, 163.0, 221.0, 229.0, 162.0, 199.0, 195.0, 254.0, 197.0, 276.0, 225.0, 227.0, 167.0, 158.0, 152.0, 153.0, 182.0, 224.0, 187.0, 316.0, 218.0, 157.0, 168.0, 153.0, 285.0, 158.0, 367.0, 246.0, 215.0]"
reksai,"[0.68, 87.91, 298.14, 334.18, 349.14, 359.32, 356.05, 330.23, 370.41, 351.55, 318.36, 335.41, 382.55, 410.91, 320.59, 433.91, 400.59, 492.55, 441.95, 381.05, 412.14, 460.82, 381.36, 357.64, 353.32, 409.29, 470.81, 466.71, 364.6, 413.47]"
xerath,"[2.5, 132.0, 308.5, 314.5, 341.5, 307.5, 341.5, 349.0, 297.0, 463.5, 355.0, 340.5, 363.0, 602.0, 347.5, 436.5, 375.0, 338.5, 835.0, 391.0, 538.0, 369.0, 480.5, 266.5, 770.0, 476.0, 175.0, 305.5, 422.0, 123.0]"
lux,"[0.0, 97.0, 186.0, 273.0, 195.0, 141.0, 230.0, 192.0, 262.0, 283.0, 228.0, 225.0, 217.0, 153.0, 202.0, 292.0, 268.0, 212.0, 234.0, 187.0, 227.0, 168.0, 315.0, 202.0, 199.0, 158.0, 154.0, 202.0, 152.0, 186.0]"
kog,"[0.0, 87.0, 363.0, 383.67, 314.67, 238.67, 448.67, 335.33, 287.33, 407.0, 266.33, 394.33, 451.33, 389.67, 315.67, 495.0, 578.33, 409.67, 357.0, 295.67, 316.33, 513.0, 640.0, 379.0, 477.33, 566.0, 375.67, 880.0, 648.67, 476.0]"
udyr,"[0.0, 41.0, 266.0, 457.0, 322.0, 255.0, 348.0, 342.0, 283.0, 296.0, 283.0, 306.0, 331.0, 304.0, 347.0, 363.0, 210.0, 424.0, 333.0, 380.0, 442.0, 158.0, 192.0, 347.0, 380.0, 927.0, 578.0, 122.0, 442.0, 158.0]"
amumu,"[0.0, 128.5, 348.0, 241.0, 298.5, 317.5, 267.0, 316.5, 275.0, 335.0, 348.0, 240.0, 290.0, 244.5, 307.5, 301.5, 243.5, 290.0, 272.5, 249.5, 179.5, 348.5, 247.5, 328.0, 258.0, 182.0, 200.0, 349.0, 270.0, 270.0]"
twitch,"[0.0, 125.0, 347.0, 335.5, 301.0, 353.0, 386.5, 212.0, 339.0, 332.0, 311.0, 345.5, 327.5, 400.0, 332.5, 644.5, 614.0, 253.5, 592.0, 293.0, 441.5, 323.5, 281.5, 417.5, 503.0, 259.0, 428.0, 398.0, 485.0, 2135.0]"
zac,"[0.0, 131.0, 308.0, 341.0, 370.0, 323.0, 270.0, 283.0, 594.0, 329.0, 381.0, 340.0, 122.0, 442.0, 467.0, 336.0, 378.0, 687.0, 280.0, 569.0, 245.0, 415.0, 383.0, 287.0, 231.0, 203.0, 177.0, 357.0, 478.0, 812.0]"
kled,"[0.83, 73.0, 309.67, 299.67, 380.67, 270.33, 351.67, 300.0, 402.5, 371.83, 296.17, 328.17, 385.33, 365.0, 371.5, 377.67, 376.83, 383.33, 416.83, 409.83, 405.17, 369.33, 374.83, 413.5, 654.5, 505.83, 425.5, 476.5, 398.17, 476.67]"
volibear,"[0.0, 115.2, 449.6, 328.4, 339.0, 328.8, 226.2, 355.6, 238.2, 399.6, 340.0, 389.4, 354.6, 359.6, 335.2, 383.8, 493.2, 352.2, 495.2, 432.0, 370.0, 341.4, 412.2, 404.6, 248.6, 422.6, 450.75, 428.75, 567.0, 221.0]"
malphite,"[0.0, 62.0, 291.0, 353.0, 263.0, 377.0, 362.0, 342.0, 241.0, 352.0, 311.0, 220.0, 1161.0, 326.0, 339.0, 459.0, 214.0, 172.0, 451.0, 431.0, 465.0, 215.0, 346.0, 401.0, 740.0, 151.0, 693.0, 322.0, 156.0, 172.0]"
