Champion,Gold_Data
annie,"[3.58, 130.99, 319.18, 381.61, 357.19, 308.9, 374.25, 364.99, 341.67, 379.96, 365.65, 354.88, 399.26, 388.09, 363.85, 367.46, 415.42, 376.52, 426.61, 392.94, 360.68, 400.39, 358.61, 375.8, 382.43, 368.19, 417.24, 438.33, 393.27, 384.68]"
jhin,"[0.58, 115.05, 329.35, 360.24, 327.87, 315.4, 386.17, 353.06, 346.69, 375.31, 388.77, 362.48, 414.54, 432.63, 349.98, 457.89, 443.86, 460.34, 468.52, 439.44, 444.72, 463.2, 453.3, 449.23, 478.05, 509.8, 562.81, 532.8, 490.59, 508.19]"
lucian,"[5.46, 110.78, 327.24, 365.27, 344.51, 341.35, 394.87, 348.86, 336.5, 381.45, 387.18, 387.17, 448.92, 442.82, 366.32, 448.05, 475.97, 466.23, 485.38, 467.2, 462.26, 450.3, 475.39, 456.05, 493.51, 541.63, 572.97, 534.41, 495.65, 476.38]"
nami,"[0.0, 66.44, 192.06, 215.89, 210.61, 226.06, 202.56, 211.44, 293.11, 246.5, 227.72, 244.61, 275.28, 228.67, 254.11, 208.17, 244.56, 192.28, 230.17, 214.72, 257.72, 265.17, 204.39, 206.5, 238.17, 224.67, 261.06, 206.5, 215.43, 218.08]"
nautilus,"[4.5, 61.78, 198.84, 214.44, 211.8, 197.62, 225.35, 216.91, 247.66, 230.72, 240.71, 248.87, 244.35, 236.3, 223.81, 241.55, 235.09, 219.22, 219.29, 211.74, 236.46, 244.51, 229.56, 246.1, 231.55, 254.15, 268.99, 272.02, 274.22, 252.71]"
orianna,"[0.13, 130.08, 311.63, 360.16, 362.4, 311.55, 373.89, 365.69, 343.57, 381.1, 403.42, 351.42, 428.11, 411.86, 341.86, 434.29, 430.65, 426.66, 430.66, 420.04, 410.18, 433.95, 419.95, 424.36, 398.68, 463.57, 461.67, 492.6, 447.37, 450.0]"
ornn,"[0.31, 95.64, 302.57, 326.9, 297.41, 317.86, 326.53, 310.3, 331.62, 338.64, 352.07, 333.77, 377.16, 341.15, 316.22, 364.07, 407.9, 381.53, 327.57, 333.4, 329.28, 302.3, 344.79, 317.23, 316.35, 316.01, 362.92, 398.2, 324.3, 325.09]"
pantheon,"[0.66, 127.6, 384.26, 375.59, 309.62, 309.83, 288.11, 365.67, 333.77, 371.86, 367.19, 306.64, 392.9, 389.54, 377.53, 388.2, 409.0, 375.98, 387.42, 383.72, 344.78, 361.21, 353.55, 344.48, 368.21, 351.97, 384.3, 390.08, 359.08, 355.5]"
rumble,"[0.29, 90.14, 300.95, 370.84, 334.87, 313.81, 350.9, 354.3, 330.4, 370.17, 357.58, 353.16, 383.87, 373.01, 335.41, 386.93, 394.16, 385.76, 407.59, 392.89, 378.55, 386.05, 394.84, 386.3, 359.72, 400.41, 457.61, 446.39, 424.43, 391.18]"
trundle,"[1.16, 141.71, 408.51, 378.06, 296.25, 314.53, 260.93, 363.83, 285.98, 356.06, 352.67, 334.06, 380.88, 388.01, 384.52, 390.2, 402.04, 384.56, 373.13, 377.6, 379.54, 383.56, 354.44, 365.68, 352.09, 332.27, 376.8, 388.94, 353.5, 428.08]"
akali,"[0.36, 115.05, 301.13, 352.16, 352.18, 311.36, 382.69, 388.11, 357.24, 437.45, 382.87, 367.82, 419.33, 403.62, 370.56, 459.53, 415.87, 406.38, 392.49, 401.91, 425.95, 443.84, 410.31, 392.93, 409.49, 508.69, 473.95, 512.31, 416.35, 451.8]"
ashe,"[1.05, 117.19, 332.21, 352.92, 314.9, 313.35, 352.48, 374.31, 331.44, 388.52, 381.48, 384.26, 384.69, 399.05, 343.55, 396.41, 464.02, 432.72, 426.99, 439.95, 418.1, 442.03, 433.94, 430.6, 419.28, 513.37, 554.61, 565.39, 516.84, 529.12]"
blitzcrank,"[0.94, 55.78, 201.0, 183.0, 200.59, 199.62, 218.31, 206.78, 259.94, 228.69, 264.81, 252.09, 217.22, 259.5, 234.91, 242.88, 256.47, 233.53, 223.34, 242.22, 272.0, 214.59, 251.06, 240.28, 219.06, 297.94, 241.68, 275.74, 268.04, 261.24]"
kalista,"[3.52, 111.3, 333.58, 384.14, 330.81, 325.2, 405.69, 366.15, 369.99, 422.92, 410.16, 401.38, 393.44, 452.93, 348.29, 466.46, 510.62, 472.44, 485.16, 423.45, 433.75, 427.55, 514.1, 426.1, 439.24, 489.31, 562.77, 525.91, 559.1, 608.27]"
naafiri,"[3.9, 127.51, 411.57, 388.89, 313.69, 335.76, 300.67, 350.68, 353.58, 386.62, 352.78, 352.99, 387.54, 380.7, 364.4, 387.12, 404.59, 408.91, 411.89, 380.23, 367.87, 377.43, 343.77, 351.65, 407.62, 371.62, 416.82, 378.24, 372.99, 382.04]"
neeko,"[1.3, 69.21, 208.86, 211.85, 211.3, 222.63, 231.08, 220.1, 269.96, 249.42, 257.15, 269.96, 262.4, 249.8, 228.81, 253.96, 250.75, 246.16, 238.52, 223.36, 239.33, 246.92, 244.08, 240.79, 236.08, 276.85, 291.1, 283.03, 270.02, 255.92]"
nocturne,"[0.83, 132.85, 404.31, 362.6, 331.03, 319.12, 278.91, 378.22, 355.33, 379.73, 377.55, 343.91, 351.73, 396.74, 394.32, 438.37, 399.65, 398.56, 379.46, 371.15, 378.55, 360.73, 349.76, 352.47, 334.29, 368.22, 400.88, 354.89, 352.79, 326.25]"
renekton,"[0.56, 103.22, 314.65, 352.58, 351.33, 313.97, 383.91, 367.35, 341.18, 394.43, 347.75, 335.73, 407.96, 383.39, 329.23, 457.14, 417.81, 416.11, 436.01, 392.26, 412.62, 422.03, 391.71, 384.66, 378.32, 414.7, 492.14, 450.87, 423.15, 461.06]"
seraphine,"[0.0, 71.7, 207.4, 242.9, 219.6, 201.5, 220.1, 244.8, 304.8, 261.3, 256.7, 252.4, 282.2, 283.4, 211.4, 222.6, 237.0, 220.9, 274.4, 226.8, 232.0, 265.6, 230.8, 225.9, 214.1, 256.7, 278.7, 313.75, 254.71, 236.86]"
sion,"[0.34, 95.84, 299.94, 338.83, 309.95, 317.36, 346.91, 334.61, 353.05, 365.74, 363.43, 353.48, 380.45, 369.28, 351.2, 382.4, 407.76, 385.16, 397.07, 387.67, 394.34, 365.36, 345.78, 353.05, 351.82, 394.6, 364.96, 419.92, 349.64, 373.5]"
braum,"[1.61, 68.41, 199.02, 203.98, 206.99, 210.44, 218.89, 219.08, 246.39, 240.54, 239.21, 247.71, 253.32, 244.69, 209.84, 224.82, 240.67, 219.05, 235.4, 223.16, 241.07, 228.45, 229.1, 238.08, 226.3, 254.45, 262.9, 282.83, 271.04, 279.64]"
gnar,"[0.16, 93.8, 311.9, 341.45, 346.18, 312.31, 360.59, 354.33, 321.69, 392.56, 375.2, 381.32, 421.25, 392.32, 365.62, 395.76, 459.48, 425.14, 386.95, 421.0, 425.1, 469.69, 428.79, 420.37, 357.43, 415.14, 511.34, 429.35, 416.84, 420.06]"
gragas,"[0.17, 77.88, 245.05, 284.59, 273.64, 278.84, 298.17, 300.86, 305.26, 328.36, 323.45, 330.24, 344.17, 325.76, 301.24, 335.45, 353.91, 320.93, 356.84, 349.97, 332.22, 345.84, 308.86, 338.39, 299.82, 336.56, 406.29, 364.82, 322.85, 324.8]"
jarvan iv,"[0.53, 138.56, 409.04, 366.51, 315.55, 325.02, 276.07, 376.54, 325.06, 373.17, 344.29, 316.71, 371.72, 405.5, 368.13, 378.61, 359.25, 384.33, 404.68, 362.39, 362.19, 358.86, 391.89, 387.82, 374.65, 387.73, 404.3, 418.74, 363.71, 390.21]"
